ID story,Name story,page,Content type,Content tag: Fun,Content tag: Memory,Content tag: Teach,Content tag: Activate,Icon / illustration,Narrative
0.001,Animal sounds,1,Share,1,0,0,0,0.001 monkey,"Hi [ name child], this is [ name sender ] and today I’m going to teach you about animals and what sounds they make. 
I’d rather be with you today so we can practice together, but this way you get practice them and tell me about your favourite animal sound next time we chat! 
Here comes the first one: 
“assignment: record yourself pretending to be a monkey. Make huhuhuhu sounds” 
Can you guess which one I did? 
Great job [ name child]! That was a monkey!"
0.001,Animal sounds,2,Share,1,0,0,0,0.001 tiger,"Now [ name sender ] is going to try another one. Let’s see. 
This one is a scary one. It has stripes all over its body. How about this one: 
“assignment: record yourself pretending to be a tiger. Make rawwwww sounds”
Great job [ name child]! That was a tiger!"
0.001,Animal sounds,3,Share,1,0,0,0,0.001 dog puppy,"Now [ name sender ] is going to try a last one. 
I’d like a cute and cuddly one because I just love cuddling with you [ name child]!
“assignment: record yourself pretending to be a puppy/dog. Make cute woef woef sounds” Great job [ name child]! That was a puppy!"
0.001,Animal sounds,4,Share,1,0,0,0,0.001 animals,"Now I’d like to tell you about [ name sender ]’s favourite animal. 
My favourite animal is the [ assignment: add animal ] 
Because [ assignment: add animal ]
[ optional assignment: room to personalize/add a story about that animal ]  That was all for today, [ name sender ] is off!
Next time I see you can you tell me about your favourite animal? 
Bye bye [ name child]! Know that I’m always here for you!"
0.002,Nickname,1,Share,1,0,0,0,0.002 babe,"Hi [ name child], this is [ name sender ] and today I’m going to come up with a cool nickname. 
I’d rather be with you today so we can come up with fun names together, but this way you can think about the names I came up with and let me know which one you like best next time we chat! Here comes the first one: 
“assignment: record yourself pretending to be a pig/babe” 
Can you guess which one I did? 
Great job [ name child]! That was a babe! Do you like babe as a nickname for me?"
0.002,Nickname,2,Share,1,0,0,0,0.002 cute pie,"Now [ name sender ] is going to try another one. Let’s see. 
This one is really yummy. I love eating it. How about “cutie pie”?: 
“assignment: record yourself saying nom nom nom” pretending to eat a pie"
0.002,Nickname,3,Share,1,0,0,0,0.002 princess,"Now [ name sender ] is going to try a last one. 
This one is quite sweet, maybe a bit too sweet for my taste [ name child]!
“assignment: pretend to be a princess and wave your royal hand”
Great job [ name child]! I was a princess!

Now I’d like to tell you about [ name sender ]’s preferred nickname 
My favourite nickname is [ assignment: add nickname ] 
Because [ add reason for your nickname ]
[ optional assignment: room to personalize/add a story about your nickname ]  
That was all for today, [ name sender ] is off!
Next time I see you can you tell me about your nickname? 
Bye bye [ name child]! [ your nickname ] is off! "
0.003,Emotions,1,Share,0,0,1,0,0.003 angry,"Hi [ name child], this is [ name sender ] and today I’m going to teach you about emotions. 
I’d rather be with you today so we can talk about this in person, but this way you can practice recognizing the emotions and tell me how you feel next time we meet! Here comes the first one: 
“assignment: record yourself pretending to be angry” 
Can you guess which one I did? 
Great job [ name child]! I was angry! Did you see how that looks? "
0.003,Emotions,2,Share,0,0,1,0,0.003 excited,"Now [ name sender ] is going to try another one. Let’s see. 
This one is fun. I can’t wait to do this one..
“assignment: record yourself pretending to be super excited"
0.003,Emotions,3,Share,0,0,1,0,0.003 sad,"Now [ name sender ] is going to try another one. Let’s see. 
“assignment: record yourself pretending to be sad, say booohooooh!”
I’m so sad I cannot be with you[ name child]!"
0.003,Emotions,4,Share,0,0,1,0,0.003 tired,"Now [ name sender ] is going to try one more. 
This one suits after a long day of playing. Watch this [ name child]!
“assignment: pretend to be really tired and fall asleep – wake up suddenly”
Woops, sorry I just fell asleep [ name child]! Because I was so tired!

I think it’s time for me to go to bed soon,  
Now [ name sender ] is going to try one last one. "
0.003,Emotions,5,Share,0,0,1,0,0.003 happy,"“assignment: pretend to be happy”
I’m so happy I have you in my life  [ name child]!
I have to go now so goodbye! See you soon!"
